Category,N_Halos,B/A_max_prob,B/A_mean,C/A_max_prob,C/A_mean,sigmaB_max_prob,sigmaB_mean,sigmaC_max_prob,sigmaC_mean
All galaxies,106,0.7921813211671519,0.7914180582076498,0.4097204272397601,0.41266371839578114,0.13507549228652393,0.13306252448109365,0.14638195481996105,0.148133759256472
M$_* < 10^8 \text{M}_{\odot}$,63,0.8037790286487805,0.8076315863077229,0.48213563857429187,0.4864808675387826,0.11442655255155822,0.11909583303383177,0.14916765954746192,0.15107816157445245
M$_* > 10^8 \text{M}_{\odot}$,43,0.7713268549312872,0.7709286536026985,0.33110333626382493,0.33517288037802523,0.1977828106097712,0.19775478018848705,0.11269175666867799,0.11580124204337636
KF Low Mass,56,0.7751910551776695,0.7751814516476133,0.426975322076987,0.43941463836798816,0.1183320814774925,0.12439756172900678,0.1335436063921466,0.1375190738127637
KF Medium Mass,23,0.7565833490340153,0.7618943498864097,0.29978094069187083,0.3016482425099057,0.21682933045477412,0.21551846370949723,0.10334197932866265,0.10700895990478965
KF High Mass,12,0.7616378252420424,0.7612242179761651,0.35995015288141563,0.36794067345864745,0.1364557699030188,0.1469455621306886,0.1386085537204666,0.1447726301770162
