Simulation,Halo_ID,Inferred B/A,B/A Mean,B/A Std,Inferred C/A,C/A Mean,C/A Std,Inferred σB,σB Mean,σB Std,Inferred σC,σC Mean,σC Std
r431.romulus25.3072g1HsbBH,1,0.8271477981413725,0.8211706229102126,0.03137250919667418,0.12739132383546667,0.14009954218306528,0.05688292246266275,0.000988587622009554,0.03378771718766925,0.047191268276350284,0.001000186234652937,0.01626791914292646,0.04875852182812737
cptmarvel.cosmo25cmb.4096g5HbwK1BH,1,0.9230533616811978,0.9199354681637079,0.013248088905169052,0.33536996135415553,0.3324315763885981,0.0038177672323785996,0.02489242290949175,0.029814281323355746,0.017108722943263013,0.02375651838864012,0.021209993640175128,0.003316365471268974
cptmarvel.cosmo25cmb.4096g5HbwK1BH,2,0.9435179969374671,0.9421900097614186,0.009936962403423455,0.24465392404488184,0.24243878016787546,0.005219704790062245,0.007866491148103394,0.017655397530713716,0.01276354312129498,0.018732498925522666,0.01856487784472155,0.004910115964488717
cptmarvel.cosmo25cmb.4096g5HbwK1BH,3,0.5471170964130208,0.5507298536418159,0.015419840232338245,0.37218851907895106,0.3712482068980386,0.003538049181744584,0.05934987618119129,0.06041588982924281,0.0140641950078363,0.0068261916103323165,0.0052806362268558865,0.003066528810313075
cptmarvel.cosmo25cmb.4096g5HbwK1BH,5,0.7522381736145128,0.8100135454746833,0.0816738053392211,0.697109750430224,0.6973528625034137,0.003748698228941151,0.013009713238155043,0.020311353236821875,0.012977624149004939,0.0033785811687215557,0.005425014204988203,0.003403673167702348
cptmarvel.cosmo25cmb.4096g5HbwK1BH,6,0.8415464405235955,0.8572514825026771,0.016788911987457772,0.6670186654725527,0.667553029749082,0.0029536082609393183,0.04007233016628733,0.04125763422610007,0.016886879872658016,0.002875924311300177,0.007716896610138459,0.004368516085070691
cptmarvel.cosmo25cmb.4096g5HbwK1BH,8,0.7556660673763698,0.7624237436071968,0.00756392356759077,0.6127051564692819,0.6132522684900777,0.0034315851853070093,0.021833069748842603,0.01591425778941138,0.007493212582569112,0.004274919911966244,0.007048145008256904,0.004059658419952778
cptmarvel.cosmo25cmb.4096g5HbwK1BH,10,0.8882417275418011,0.8919388926823713,0.0044080883717966856,0.863941702723445,0.8620001269807209,0.0031138552017477956,0.007062860649327436,0.006138063797301889,0.004549319931955102,0.0030063994853389143,0.004060403574975295,0.00279902006462715
elektra.cosmo25cmb.4096g5HbwK1BH,1,0.5527964733036665,0.5496467011901839,0.028254708706851008,0.1730969345198652,0.1792411192189458,0.028085942785269498,0.07407404420786474,0.08711650617850428,0.028355005836419065,0.006509066328741155,0.009491444898018097,0.011558388200094147
elektra.cosmo25cmb.4096g5HbwK1BH,2,0.7004420130059287,0.6982357773734394,0.008468194932816617,0.5882112173459219,0.5907652487169218,0.0025962176993733696,0.038788956601101314,0.026873665666581618,0.01181074349777399,0.00461017218383795,0.006744967076773257,0.003935635708461302
elektra.cosmo25cmb.4096g5HbwK1BH,3,0.5397432609864405,0.5457488317894851,0.009047711841339099,0.2726525247706728,0.27326368600146156,0.014798188151516775,0.004823696614603011,0.019575833303944603,0.011803409014177044,0.07234856292467712,0.06441522453646804,0.013018518855783588
elektra.cosmo25cmb.4096g5HbwK1BH,4,0.4542998775922487,0.4487051236908654,0.005606138061473084,0.3584106217450322,0.36164983394490524,0.0041033172800551375,0.028011187877985226,0.022036575304309563,0.009104174801593142,0.002015727876758664,0.0067550343232132175,0.0031984958491459267
elektra.cosmo25cmb.4096g5HbwK1BH,5,0.6628796482920432,0.7503051780429455,0.11068740374932434,0.5907370072728727,0.5968032494515377,0.006724251111827524,0.007455966839896064,0.026163663727966472,0.025865347246476014,0.0033036833230193283,0.01444570755637423,0.005588548161625205
elektra.cosmo25cmb.4096g5HbwK1BH,6,0.5777788348261444,0.5892992618076608,0.01535645969998401,0.303608927379011,0.3058255452779306,0.004057635451632053,0.09760852407907111,0.1018737361331923,0.012460095317705182,0.009397015643458852,0.011697268882861442,0.005354094054976961
elektra.cosmo25cmb.4096g5HbwK1BH,9,0.7426981611064238,0.7500433081736387,0.008232587242620512,0.637346121638779,0.6405850400758846,0.0033975154358181674,0.005924839021681616,0.012820622671001525,0.01123031217947954,0.0007449355221213153,0.007296480664686297,0.003741710719228197
