Category,N_Halos,B/A_max_prob,C/A_max_prob,sigmaB_max_prob,sigmaC_max_prob,B/A_mean,C/A_mean,sigmaB_mean,sigmaC_mean
All Galaxies,111,0.7685732339446577,0.4186673365584926,0.10624778568676085,0.14203375303317178,0.7689395585392367,0.41881130696593355,0.10599318068553819,0.14225228539231474
Disky Galaxies,39,0.659821852181411,0.30722709591192965,0.15457412313870122,0.09181748197191104,0.6602335283065801,0.30724885201654223,0.15493008761518862,0.09143337010647797
Non-Disky Galaxies,72,0.7900595846772664,0.523932095340912,0.0945818983760435,0.1478819132526737,0.7900646088429258,0.5245462026264582,0.09498349161480835,0.1486858999903009
