Simulation,Halo_ID,Inferred B/A,B/A Mean,B/A Std,Inferred C/A,C/A Mean,C/A Std,Inferred σB,σB Mean,σB Std,Inferred σC,σC Mean,σC Std
m11d_res7100,1,0.3624916201443406,0.44115614480064413,0.11136712377677631,0.317127360272407,0.31520610128016674,0.034993078480341874,0.006478895945809774,0.09139678340828818,0.15690664261328316,0.0023494910561405813,0.08859552218353213,0.14888456757734064
m11d_res7100,2,0.7751726114860953,0.7978477602027073,0.037840680198130486,0.5387713556062762,0.5586511131342515,0.04659719105680934,0.04405025170479932,0.10776360695207615,0.11648197262321733,0.06524804929402594,0.1002162378091904,0.08340927167795412
m11d_res7100,4,0.6674289099538564,0.7326577716533001,0.09281861452940691,0.6144711064169047,0.6222116135581113,0.02670769074420377,0.014290522063466333,0.06805909009678843,0.10480244098021374,0.008214516258558822,0.07102605037323863,0.13696709435679966
m11b_res2100,1,0.7962370344059108,0.7878049908236834,0.039326664767388546,0.3572423497796068,0.38011726405638524,0.04552108860444867,0.051080116268671295,0.13434113357648098,0.12223092111761774,0.01398394639240257,0.06505347914738929,0.13079355701347464
m11e_res7100,1,0.3834185241898894,0.42056094026064067,0.05866394451471625,0.23305041552449443,0.24480947677513246,0.034929648344063174,0.00519220496130789,0.0767687445711059,0.13262353215493733,0.00227317826632597,0.04784623454160792,0.0972564394349927
m11e_res7100,2,0.6458755759735977,0.6630976588530394,0.03308015070328046,0.48244432630139444,0.5047645840556572,0.03957356533223705,0.0067789019931306935,0.06745307673235237,0.12132042661890471,0.0016352745622272415,0.06414263598746182,0.12340910794892879
m11h_res7100,1,0.6410012920762086,0.6590426114822597,0.03789397482950661,0.22214866089434168,0.2500755164080592,0.05335629207932095,0.1351484522213375,0.16424341781270535,0.1127254821306852,0.03686905104024841,0.1264578131820369,0.1559696849206574
m11i_res7100,1,0.5885159169726891,0.6161084465081195,0.056226500902083976,0.4315025318937776,0.46018001138473835,0.048958927689868904,0.03674587755184584,0.0923503610802192,0.11708479714994889,0.018699659929574224,0.07861564077460152,0.14457266908912844
m11q_res880,1,0.5552521983133524,0.5844286136387123,0.05342938029667051,0.363172314119158,0.3724213820487852,0.03192604993152169,0.10946252139845279,0.1251432132307333,0.08519525797203958,0.012073457289096309,0.09656563004075938,0.1456595033870484
m11q_res880,2,0.5851615464792522,0.6151971658357139,0.05647870433138348,0.4128570142079671,0.440406907655459,0.050880487450933556,0.007729677805546599,0.058127488553696545,0.1161728300092171,0.004917491831950361,0.07359621498674573,0.13810683036194915
m11q_res880,3,0.6972716365991473,0.7412563855396636,0.056964808255869324,0.6479097908491411,0.6572243141448878,0.030495608277867466,0.020287072549981734,0.0736248084329958,0.10509325047147554,0.011415049418557055,0.0682506606294724,0.09983497297184374
m11q_res880,4,0.8459883451609601,0.8411383449631714,0.026212138145591233,0.6209727378373491,0.6512007446082163,0.05307624430731006,0.006836374386034444,0.06044298242884172,0.10780405866863575,0.01150434409729759,0.08834619358130555,0.13819620135972202
m11q_res880,5,0.7810736675294446,0.8022302579088428,0.03775068100191439,0.5816091620684072,0.6149285509538687,0.05129037041249594,0.00513418804613228,0.10262147506795744,0.15054300708277146,0.03575750538521122,0.11192211580603122,0.12462557391103755
m11q_res880,6,0.7598152408736445,0.7550582492346962,0.026296735929679477,0.5560795792067585,0.5827145659851102,0.048342135991266806,0.0038836187467776034,0.07662358302053895,0.13658871445033052,0.0007585223317566957,0.06535897437726391,0.1305435761550668
