Simulation,Halo_ID,B/A_max_prob,B/A_mean,B/A_std,B/A_16th,B/A_50th,B/A_84th,C/A_max_prob,C/A_mean,C/A_std,C/A_16th,C/A_50th,C/A_84th,sigmaB_max_prob,sigmaB_mean,sigmaB_std,sigmaB_16th,sigmaB_50th,sigmaB_84th,sigmaC_max_prob,sigmaC_mean,sigmaC_std,sigmaC_16th,sigmaC_50th,sigmaC_84th
elektra.cosmo25cmb.4096g5HbwK1BH,4,0.471733193153657,0.5173493244957662,0.07373426734334158,0.46999716860531904,0.47158521686377924,0.6188221400952232,0.41622690461200107,0.42481687428727455,0.030358953406835594,0.41598314598315206,0.4175400767285626,0.4575011013249492,0.002745085910833581,0.0577980700140008,0.12059779925673918,0.0014079568305488974,0.005019120629849409,0.1446127928587405,0.006893403508137895,0.07267107603640702,0.12668687742013202,0.006323328261988175,0.007598432912685966,0.1903241973844365
elektra.cosmo25cmb.4096g5HbwK1BH,5,0.6237354088168421,0.6337485764679721,0.02667177884275283,0.6207423805362272,0.6246701624362018,0.6693739591813249,0.33813267347175896,0.35888489610013335,0.04569896645866823,0.33711244024353354,0.33806723919613696,0.41165519391479566,0.06395751025214776,0.10275193537008784,0.10291362209346233,0.060411458765782196,0.0641522417996681,0.08860283927203863,0.004551746165680036,0.04944812857862005,0.1097514163903257,0.002007304521077983,0.005091005297176657,0.06609827401272672
elektra.cosmo25cmb.4096g5HbwK1BH,6,0.4179887781957843,0.4459712328878792,0.056380722393657615,0.4179236944055721,0.419350410233787,0.48486961676553775,0.23282331220448887,0.2507839478556521,0.04532392818541304,0.22761030937334148,0.23055683834797888,0.2906172874542818,0.005057524744363514,0.06163740982083662,0.12353378722824315,0.0018256432483624214,0.004799351193231493,0.20158542478670066,0.04649290728302507,0.1120873245032704,0.1367821285974939,0.042581046429720555,0.045235586864537054,0.2689377004142663
elektra.cosmo25cmb.4096g5HbwK1BH,9,0.8953658125743821,0.8925540886202016,0.03599745531181052,0.8573336074020943,0.8953878103428761,0.9028656464598154,0.7105584647909831,0.7307741306122628,0.049537502645646936,0.7080771656133009,0.7110391299588986,0.7739330141120604,0.0002777874528351221,0.12291551689756126,0.15370777977096084,0.001186669100987464,0.0038142631454104025,0.31500109131025456,0.04552882433515945,0.09647451209162623,0.11212135212604485,0.01211305042299985,0.046024220844048176,0.2473977746275818
elektra.cosmo25cmb.4096g5HbwK1BH,10,0.8019061297297077,0.8228451419365657,0.0378426086577157,0.8005964432139079,0.8054843884259357,0.871626605232861,0.6681460260838139,0.6993215859378391,0.043611894869795026,0.6673311931439838,0.6690539787857684,0.7478247427999373,0.004272374238692005,0.07745085150529805,0.11912585094842765,0.0,0.010293110860515924,0.18712815441642772,0.02276399866999587,0.12029219853209565,0.13498227374475422,0.02127599269915004,0.023078750771738443,0.30279094737849044
h148.cosmo50PLK.3072g3HbwK1BH,2,0.466590737121464,0.4976195162802314,0.054493012297642286,0.4651877421670771,0.4694364277089104,0.5548096485811654,0.19796146447744747,0.2217883274235213,0.04387667887937728,0.19767103034313135,0.19796967341846142,0.28260582618092356,0.10355421394169521,0.15867309420548298,0.12325530069349158,0.10011684337741816,0.10469797826133409,0.2772497983819148,0.0008256922354417931,0.06199758590945899,0.1204826760448987,0.0008500356205428806,0.0017430114156733833,0.1837654459193211
h148.cosmo50PLK.3072g3HbwK1BH,3,0.8824119969817265,0.8284880034587101,0.07934016572388429,0.7251883618219976,0.8782250181486824,0.8815545692400123,0.1972347540694494,0.22910375696464197,0.05789059186196124,0.19566346453617306,0.19741842609673457,0.30026130821364155,0.003884026769153703,0.1149534008560492,0.18102378644280376,0.0029572858061676383,0.010152488634327893,0.3819451170338632,0.02939327632831618,0.08914903388761519,0.13114114663656115,0.02766510507434376,0.02973013730594092,0.22040656628208694
h148.cosmo50PLK.3072g3HbwK1BH,4,0.8045366741534219,0.7870546713441293,0.0369029215088607,0.7564214748983252,0.8045706363096469,0.8060093899463039,0.20295517387041007,0.22527038143731345,0.045057205851474214,0.20238834528154317,0.2037132173988607,0.28039056001854984,6.169426918689234e-05,0.06588944042922078,0.12806871542328335,0.0012443340461873573,0.003553915876360949,0.19757762597267095,0.018988514037134443,0.08870066073513871,0.15365433530188663,0.01832213315012041,0.019899601687228742,0.3393043335512747
h148.cosmo50PLK.3072g3HbwK1BH,6,0.6139474381868025,0.6142979921519625,0.02326689928273415,0.6108548751101242,0.614198287558677,0.6174569801383706,0.19846824399206908,0.2240625701997247,0.0524626548232478,0.19805944834149006,0.1992796964127907,0.2754773176681366,0.05351425030812858,0.1161357905874135,0.12950253040369564,0.05424397898385263,0.05947107550583227,0.23014617929704084,0.023242337436049264,0.07681360564533075,0.13019447445830673,0.021322269207200647,0.023141404911406052,0.10359436116689676
h148.cosmo50PLK.3072g3HbwK1BH,7,0.6945533870727205,0.7184838626707213,0.04412390237593125,0.6928925687363136,0.695772002406745,0.7712088181971648,0.5445213602109391,0.571987497617241,0.04342151279016438,0.5436401683232259,0.544569444717353,0.6309593303240637,0.017468487900935352,0.08480158301282324,0.11858772522943296,0.015970869645491183,0.019640036718710046,0.25845609235957545,0.004447786318136961,0.08478870416637195,0.13624849378618809,0.0020321476164775996,0.00510199586475467,0.23830141306439862
h148.cosmo50PLK.3072g3HbwK1BH,10,0.7509853021433466,0.7327470202030708,0.03883912988301698,0.7149301646311802,0.7453350615692808,0.7515250861107517,0.20341724035087375,0.236149819323579,0.06598215233332748,0.19586606520391042,0.20160306176289938,0.31259237138090384,0.04603935340776788,0.12596214898029964,0.14987042040308823,0.04209925882101435,0.047195709866939106,0.35125651784090467,0.07299983366528415,0.12665371649895335,0.11601040714033001,0.06291273039131869,0.06913606960671957,0.2520028901594355
