Category,N_Halos,B/A_max_prob,C/A_max_prob,sigmaB_max_prob,sigmaC_max_prob,B/A_mean,C/A_mean,sigmaB_mean,sigmaC_mean
All Galaxies,14,0.7283984784716626,0.48191443968956466,0.08174037565552453,0.12507873477793727,0.7289374517115436,0.48190528771529056,0.08151126057447045,0.12543296411368693
Disky Galaxies,2,0.6786573856347329,0.38847712322703615,0.14882125047636371,0.09119608887763285,0.6774134318819917,0.392774511628282,0.14915970535899695,0.09191029257557777
Non-Disky Galaxies,12,0.7303116824208868,0.5116395920595453,0.07910912657899351,0.13215207793750974,0.7336868134550215,0.5164259764606138,0.08587081113769013,0.13052248866575017
