Category,N_Halos,B/A_max_prob,B/A_mean,C/A_max_prob,C/A_mean,sigmaB_max_prob,sigmaB_mean,sigmaC_max_prob,sigmaC_mean
KF Low Mass,56,0.7529123125869741,0.7515241989168554,0.41911739583982,0.4184556507233289,0.1033615207188129,0.10407724645853697,0.11933063611740592,0.12231716861517339
KF Medium Mass,23,0.6832755480067013,0.6813754690892142,0.31575541480659536,0.3208682993277534,0.17570222991758866,0.17675696281021727,0.10251140972341972,0.10699755574044455
KF High Mass,13,0.7063012152005029,0.7045512483167898,0.36525231305847755,0.36882543989190075,0.11076790609540134,0.11460867872542053,0.1052210324258946,0.10893084980789329
