Simulation,Halo_ID,Inferred B/A,B/A Mean,B/A Std,Inferred C/A,C/A Mean,C/A Std,Inferred σB,σB Mean,σB Std,Inferred σC,σC Mean,σC Std
cptmarvel.cosmo25cmb.4096g5HbwK1BH,1,0.8602490362699885,0.8262404506096789,0.06451034580684464,0.274616389892034,0.2974796352105102,0.04450504247897279,0.004429846917440623,0.09732457497614419,0.16752905166627172,0.026387143150870946,0.07449392150539702,0.12037181991968733
cptmarvel.cosmo25cmb.4096g5HbwK1BH,2,0.8086394277891565,0.7804062324588737,0.04974249353828085,0.2086220259702744,0.2283643246646272,0.04183718052541564,0.1267504499214186,0.17174260244615802,0.12664250791771448,0.02373152654712852,0.07716598680453597,0.12391173232228302
cptmarvel.cosmo25cmb.4096g5HbwK1BH,3,0.48369297615863815,0.5116367303689018,0.052999076817794116,0.3364253067438177,0.3488351881129147,0.03207459168005812,0.0012688720622049863,0.06031144081104279,0.10417965816189387,0.004255447941283201,0.07717954005703406,0.1333670951177527
cptmarvel.cosmo25cmb.4096g5HbwK1BH,5,0.902953229071418,0.8987615588270724,0.03539198031999568,0.7379415968134156,0.7666365711879384,0.04479084952721654,0.000942225821207356,0.07994122261177082,0.12214240295457168,0.004511663053680964,0.06985689843735951,0.10937756676052009
cptmarvel.cosmo25cmb.4096g5HbwK1BH,6,0.8345799866095966,0.8430571295772158,0.04094771757286295,0.7042202021950925,0.7301403762898568,0.03723932555571594,0.010838186625008857,0.09858693630180532,0.13206454091118275,0.00275579386517807,0.08414733790616702,0.12459489746982028
cptmarvel.cosmo25cmb.4096g5HbwK1BH,7,0.6976895384643645,0.6942823314180715,0.023139874597677162,0.2502188869900942,0.26008026532318174,0.02830456390340691,0.020162139697570646,0.06060652468063676,0.11590606630362656,0.003684847106383763,0.06457058742891145,0.1475657841961496
cptmarvel.cosmo25cmb.4096g5HbwK1BH,8,0.6609997670990222,0.7148385840838716,0.07911464095746532,0.6421227814777486,0.6492261509185635,0.027907696219652715,4.3731608105803104e-05,0.08318481188039133,0.1327954035637892,0.012010699298618905,0.056775471089609515,0.1029888889295813
cptmarvel.cosmo25cmb.4096g5HbwK1BH,10,0.9206753194939091,0.9324008963632667,0.03179419503082447,0.8943413660187414,0.8832609549029395,0.03709132071370109,0.0035716190702042606,0.07435116698494403,0.10959002644269267,0.0015276096172350071,0.07439376514859565,0.12484925939771607
elektra.cosmo25cmb.4096g5HbwK1BH,1,0.39129383291332176,0.4190512886644379,0.05252455387233981,0.17261055066744513,0.1923240958863213,0.03971056955742382,0.003435206926315701,0.042411575260481005,0.08561076111772141,0.020390039743672178,0.08497344178946103,0.1247866376823635
elektra.cosmo25cmb.4096g5HbwK1BH,2,0.808345724794838,0.8064756585079015,0.03238432220153668,0.5837077537470238,0.6121882753302433,0.046614758747285163,0.009767602000320175,0.07765061203563188,0.1291746273442538,0.0062501306962075035,0.07811861009045652,0.1346590070876881
elektra.cosmo25cmb.4096g5HbwK1BH,3,0.5050621314332391,0.5267534890979609,0.04194693601928349,0.2104763953839315,0.23739410854651632,0.05730707665678553,0.020948324386615036,0.04918570593871748,0.08622393438489132,0.03534121506384544,0.09104943032585879,0.1246493444945142
