Simulation,Halo_ID,B/A_max_prob,B/A_mean,B/A_std,B/A_16th,B/A_50th,B/A_84th,C/A_max_prob,C/A_mean,C/A_std,C/A_16th,C/A_50th,C/A_84th,sigmaB_max_prob,sigmaB_mean,sigmaB_std,sigmaB_16th,sigmaB_50th,sigmaB_84th,sigmaC_max_prob,sigmaC_mean,sigmaC_std,sigmaC_16th,sigmaC_50th,sigmaC_84th
elektra.cosmo25cmb.4096g5HbwK1BH,3,0.48090869266808645,0.5069910391297726,0.04375860663874341,0.4794327384334706,0.4817108120532096,0.5666982203257751,0.17166055346525533,0.2050205240276182,0.05877942753303313,0.1708068246144386,0.1724360567962942,0.2864155123230695,0.039784400072562925,0.11185534454378727,0.1429495253231015,0.037218612128970915,0.04013553329362844,0.25970705702751395,0.015446825187893948,0.09036898304719933,0.14827343908529575,0.014319636477406373,0.015736977746681095,0.31827456922780406
elektra.cosmo25cmb.4096g5HbwK1BH,4,0.46984303787234827,0.5165497424673425,0.07424154867423936,0.46856103004057575,0.47019022234197017,0.6188221400952232,0.41803464215521174,0.42548009900565525,0.0302012431115011,0.416824257330042,0.41863162682764804,0.4575011013249492,0.011205596197929237,0.05990297437227785,0.11969482327121567,0.0023435156709738217,0.00853057933252918,0.1446127928587405,0.008473786934623617,0.07316885610389735,0.12643006725536007,0.006521729715027002,0.00868854353259087,0.1903241973844365
elektra.cosmo25cmb.4096g5HbwK1BH,5,0.6234349076461254,0.6344491043635965,0.02805989218588795,0.6195525432794887,0.6236686931507512,0.6751479097872087,0.3384336082676144,0.36041086593419364,0.046195576605736775,0.33745660724891036,0.33836610238285664,0.4227086976097274,0.06610625473678566,0.10713895334869421,0.1059260861540499,0.060921854495904884,0.06494947483671072,0.14399223773312553,0.0035526543765440942,0.049238104864475066,0.10984429229128216,0.0012333989603755873,0.005100113680642299,0.06609827401272672
elektra.cosmo25cmb.4096g5HbwK1BH,6,0.41786879678971484,0.44626603193434206,0.05626644897959884,0.4178588080901068,0.4203538695111269,0.48486961676553775,0.2318430034876261,0.251021188191418,0.045240553560596856,0.2284448714801118,0.23029356689446479,0.2906172874542818,0.004701272500998427,0.06235048523402246,0.12321510639193473,0.0019343294562982512,0.006104161018514821,0.20158542478670066,0.045460279563973006,0.11210193286966384,0.13677557315531466,0.04268341056322808,0.04499195314802301,0.2689377004142663
elektra.cosmo25cmb.4096g5HbwK1BH,9,0.8952849488898593,0.8913124430267428,0.03397396371723245,0.8573336074020943,0.8959859405497737,0.9001788330027815,0.7094492699590385,0.7300873042598317,0.04963222243564798,0.7083279885410539,0.7108701798156757,0.7739330141120604,0.00042889994368447106,0.12306682711174917,0.15358868254563968,0.0015470857354343622,0.003941665217494572,0.31500109131025456,0.04575567143462249,0.0963144542448798,0.1121845187690044,0.01211305042299985,0.046013888960844865,0.2473977746275818
elektra.cosmo25cmb.4096g5HbwK1BH,10,0.8012974154336453,0.8225727546124578,0.03807114260833551,0.800345557406577,0.8043384539032314,0.871626605232861,0.6690148313239588,0.6994428876605476,0.043408134382302545,0.6682461835940978,0.6700671709555757,0.7478247427999373,0.003999532199995113,0.07601095719815085,0.11916247506396052,0.0,0.010593046361489271,0.18712815441642772,0.022595051256253277,0.12051787886375118,0.13479767315656735,0.021581489954713727,0.023174116911091384,0.30279094737849044
h148.cosmo50PLK.3072g3HbwK1BH,2,0.468940780733708,0.4983534408486395,0.05405912569259208,0.4667448461171892,0.4697576280262377,0.5548096485811654,0.19836394383173472,0.22180282501479884,0.04386890286714566,0.19764644449213398,0.19803287770225422,0.28260582618092356,0.10705617061097158,0.15929610984055875,0.1229845573309374,0.10055687212472508,0.10572447419899898,0.2772497983819148,0.0016518617122924673,0.06202747620944589,0.12046759077819354,0.0008980457705484719,0.0016870196766801849,0.1837654459193211
h148.cosmo50PLK.3072g3HbwK1BH,3,0.8816636121921946,0.8231808353036907,0.08243290746469396,0.7085561564196484,0.8767275228673519,0.8816509101540082,0.19738249858070472,0.23089037777598365,0.05869231782090056,0.19505597165729432,0.19660562414016286,0.3029564425776323,0.004806399235374336,0.12097063399849087,0.18050009043076165,0.003584580792722692,0.01271308525588804,0.3819451170338632,0.029646516737232845,0.0953884487838959,0.13466694527475284,0.02740123965389283,0.02929194651976037,0.26527334888020204
h148.cosmo50PLK.3072g3HbwK1BH,4,0.8035748794822148,0.7872098788516265,0.036981971341225425,0.7564214748983252,0.8046691252520984,0.8061660032739723,0.20431003491016592,0.2257872885547987,0.04480461997219767,0.20308084176404698,0.2044816958987741,0.28039056001854984,0.0009916103194446534,0.06614285073541618,0.12794413502932483,0.0016722754244576934,0.0039925570838967046,0.19757762597267095,0.01971974472089455,0.0889803642925999,0.15352903803008083,0.01855546599536625,0.020136653477004014,0.3393043335512747
h148.cosmo50PLK.3072g3HbwK1BH,6,0.6128048066717541,0.6128848893110039,0.023269292784863914,0.609162051816046,0.6122917982245045,0.6159873851902471,0.1988168167925184,0.2240372616216328,0.0524778891052548,0.19791723589395288,0.1994216631700032,0.2754773176681366,0.05898227336826074,0.11517920053119043,0.1299749458796668,0.0502226889307395,0.05936112285902448,0.23014617929704084,0.02263935716266894,0.07715569672251515,0.13005134501471757,0.021997338380869133,0.02344247496920444,0.10359436116689676
