Category,N_Halos,B/A_max_prob,C/A_max_prob,sigmaB_max_prob,sigmaC_max_prob,B/A_mean,C/A_mean,sigmaB_mean,sigmaC_mean
All Galaxies,111,0.7685732339446577,0.4186673365584926,0.10624778568676085,0.14203375303317178,0.7689395585392367,0.41881130696593355,0.10599318068553819,0.14225228539231474
Disky Galaxies,39,0.659821852181411,0.30722709591192965,0.15457412313870122,0.09181748197191104,0.6602335283065801,0.30724885201654223,0.15493008761518862,0.09143337010647797
Non-Disky Galaxies,72,0.7900595846772664,0.523932095340912,0.0945818983760435,0.1478819132526737,0.7900646088429258,0.5245462026264582,0.09498349161480835,0.1486858999903009
KF_low,40,0.7515230668633917,0.5421019070321135,0.11168000182906647,0.1679250299772875,0.7536028877041685,0.5435852163447863,0.11421714533428909,0.168441385468214
KF_med,7,0.7183577996444183,0.39262478553902597,0.12522290357075228,0.06190700236664193,0.7186701527180702,0.39251906157679034,0.12712729913592097,0.06201638691598685
KF_high,4,0.7556638022748462,0.5061386031626522,0.08711064455055045,0.10543151656445543,0.7549931602818631,0.5088142522005916,0.08749522696443628,0.10762227383988189
