Simulation,Halo_ID,B/A_max_prob,B/A_mean,B/A_std,B/A_16th,B/A_50th,B/A_84th,C/A_max_prob,C/A_mean,C/A_std,C/A_16th,C/A_50th,C/A_84th,sigmaB_max_prob,sigmaB_mean,sigmaB_std,sigmaB_16th,sigmaB_50th,sigmaB_84th,sigmaC_max_prob,sigmaC_mean,sigmaC_std,sigmaC_16th,sigmaC_50th,sigmaC_84th
cptmarvel.cosmo25cmb.4096g5HbwK1BH,1,0.8602490362699885,0.8262404506096789,0.06451034580684464,0.7509005914132818,0.860109999334658,0.8627288507481972,0.274616389892034,0.2974796352105102,0.04450504247897279,0.2744657561902629,0.2760603635235369,0.3510644994007444,0.004429846917440623,0.09732457497614419,0.16752905166627172,0.001517999148960826,0.004342824908416217,0.3127272670261772,0.026387143150870946,0.07449392150539702,0.12037181991968733,0.02643961699130084,0.02820393623816332,0.09825966862467062
cptmarvel.cosmo25cmb.4096g5HbwK1BH,2,0.8086394277891565,0.7804062324588737,0.04974249353828085,0.7308170550161807,0.8049637569225667,0.8120448864123359,0.2086220259702744,0.2283643246646272,0.04183718052541564,0.20718812517723575,0.20828149625781267,0.26832498871321747,0.1267504499214186,0.17174260244615802,0.12664250791771448,0.118355518971855,0.1239112841375673,0.3294221933495414,0.02373152654712852,0.07716598680453597,0.12391173232228302,0.0212005600696023,0.022661499942247726,0.16596710966399428
cptmarvel.cosmo25cmb.4096g5HbwK1BH,3,0.48369297615863815,0.5116367303689018,0.052999076817794116,0.483327480836054,0.4846031490135253,0.5702560316697718,0.3364253067438177,0.3488351881129147,0.03207459168005812,0.3358464664477928,0.33680269245473105,0.37662318124397237,0.0012688720622049863,0.06031144081104279,0.10417965816189387,0.001552129570068025,0.0077722993516441494,0.1959259718249646,0.004255447941283201,0.07717954005703406,0.1333670951177527,0.004326860432595978,0.006676437860110395,0.2589608686755863
cptmarvel.cosmo25cmb.4096g5HbwK1BH,5,0.902953229071418,0.8987615588270724,0.03539198031999568,0.8667300018445852,0.9032210072662878,0.9073398122315238,0.7379415968134156,0.7666365711879384,0.04479084952721654,0.7373056054281639,0.7383213873573747,0.8185079220253402,0.000942225821207356,0.07994122261177082,0.12214240295457168,0.00042842169869134654,0.0028005542550460145,0.22231293660543483,0.004511663053680964,0.06985689843735951,0.10937756676052009,0.001069769208229533,0.005171221702339803,0.2040588537904082
cptmarvel.cosmo25cmb.4096g5HbwK1BH,6,0.8345799866095966,0.8430571295772158,0.04094771757286295,0.8212405681300777,0.8367689301515423,0.8638896242539882,0.7042202021950925,0.7301403762898568,0.03723932555571594,0.7039009561186991,0.7050895483915148,0.7684679904917023,0.010838186625008857,0.09858693630180532,0.13206454091118275,0.0008892577531877267,0.012039670549369701,0.26269735321881715,0.00275579386517807,0.08414733790616702,0.12459489746982028,0.0,0.0046864829414597995,0.2527695019981046
cptmarvel.cosmo25cmb.4096g5HbwK1BH,7,0.6976895384643645,0.6942823314180715,0.023139874597677162,0.695655223872221,0.6982901026277133,0.7007078226270009,0.2502188869900942,0.26008026532318174,0.02830456390340691,0.24915607452511523,0.2500728099285388,0.2622985039118123,0.020162139697570646,0.06060652468063676,0.11590606630362656,0.018004921563876418,0.021880781402320394,0.02708930162731109,0.003684847106383763,0.06457058742891145,0.1475657841961496,0.0017171630132992357,0.003957227741530282,0.006299195713055213
cptmarvel.cosmo25cmb.4096g5HbwK1BH,8,0.6609997670990222,0.7148385840838716,0.07911464095746532,0.6614301730535751,0.6631135109602463,0.8012281661693054,0.6421227814777486,0.6492261509185635,0.027907696219652715,0.6385977303304872,0.6406848297439698,0.6598347881747066,4.3731608105803104e-05,0.08318481188039133,0.1327954035637892,0.0008182710059283817,0.0029171435330287744,0.24676324696646446,0.012010699298618905,0.056775471089609515,0.1029888889295813,0.007636424331792398,0.010670494934741325,0.11679289091668331
cptmarvel.cosmo25cmb.4096g5HbwK1BH,10,0.9206753194939091,0.9324008963632667,0.03179419503082447,0.9146980019844734,0.926848103348989,0.9596786249646948,0.8943413660187414,0.8832609549029395,0.03709132071370109,0.8382075761477286,0.8903045192580973,0.9088004626624208,0.0035716190702042606,0.07435116698494403,0.10959002644269267,0.0,0.01801956071670137,0.1808156567460063,0.0015276096172350071,0.07439376514859565,0.12484925939771607,0.0,0.002316526419897584,0.1995459207942842
elektra.cosmo25cmb.4096g5HbwK1BH,1,0.39129383291332176,0.4190512886644379,0.05252455387233981,0.3901436812642765,0.39213130825217385,0.49493702165229453,0.17261055066744513,0.1923240958863213,0.03971056955742382,0.1722249735554032,0.17373856168955645,0.23523161390300007,0.003435206926315701,0.042411575260481005,0.08561076111772141,0.0050244149925508606,0.01122430491059505,0.018534431554505234,0.020390039743672178,0.08497344178946103,0.1247866376823635,0.020702511936683283,0.02202569910600987,0.2400439285380026
elektra.cosmo25cmb.4096g5HbwK1BH,2,0.808345724794838,0.8064756585079015,0.03238432220153668,0.8046120203268973,0.8078200713444161,0.8254886668438951,0.5837077537470238,0.6121882753302433,0.046614758747285163,0.5828468766523072,0.5839295254391796,0.6706399879586471,0.009767602000320175,0.07765061203563188,0.1291746273442538,0.004728640277062671,0.011305502707169178,0.28171434992783806,0.0062501306962075035,0.07811861009045652,0.1346590070876881,0.0024764782078262335,0.006522994990822561,0.25891108815640224
elektra.cosmo25cmb.4096g5HbwK1BH,3,0.5050621314332391,0.5267534890979609,0.04194693601928349,0.5046336236028677,0.5066127671866694,0.5628134939642148,0.2104763953839315,0.23739410854651632,0.05730707665678553,0.20868543574683682,0.2104763953839315,0.29585074468076566,0.020948324386615036,0.04918570593871748,0.08622393438489132,0.019359290019240062,0.022669643143186858,0.02712623590489899,0.03534121506384544,0.09104943032585879,0.1246493444945142,0.032915338143214845,0.03482639101078557,0.2082599006640291
